"","id","series","start_datetime","timezone","ground","longitude","latitude","altitude","match_length_overs","match_length_balls","max_balls_team1","max_balls_team2","team1","team2","neutral_venue","first_innings","toss_winner","toss_choice","dbMktPriceTeam1","dbMktPriceTeam2","victor","balls_team1","balls_team2","byes_team1","byes_team2","leg_byes_team1","leg_byes_team2","no_balls_team1","no_balls_team2","runs_team1","runs_team2","target_team1","target_team2","wickets_team1","wickets_team2","wides_team1","wides_team2"
"1",6690,"Big Bash League 2014/15",2015-01-28 08:40:00,"Australia/Sydney","Manuka Oval",149.134592,-35.318131,555,20,120,120,120,"Perth Scorchers","Sydney Sixers",1,"Sydney Sixers","Sydney Sixers","Bat",1.893,2.02,"Perth Scorchers",120,120,0,0,2,3,2,0,148,147,148,NA,6,5,1,5
"2",6696,"Big Bash League 2014/15",2014-12-18 08:40:00,"Australia/Adelaide","Adelaide Oval",138.596111,-34.915556,19,20,120,120,120,"Adelaide Strikers","Melbourne Stars",0,"Melbourne Stars","Melbourne Stars","Bat",NA,NA,"Adelaide Strikers",75,120,1,0,2,1,0,0,149,148,149,NA,2,7,1,4
"3",6700,"Big Bash League 2014/15",2014-12-19 08:40:00,"Australia/Sydney","Sydney Cricket Ground",151.224771,-33.891645,30,20,120,120,120,"Sydney Sixers","Melbourne Renegades",0,"Melbourne Renegades","Sydney Sixers","Bowl",NA,NA,"Sydney Sixers",113,120,0,0,4,1,0,0,158,154,155,NA,2,7,2,6
"4",6702,"Big Bash League 2014/15",2014-12-20 08:10:00,"Australia/Melbourne","Melbourne Cricket Ground",144.983449,-37.819967,12,20,120,120,120,"Melbourne Stars","Hobart Hurricanes",0,"Hobart Hurricanes","Melbourne Stars","Bowl",NA,NA,"Hobart Hurricanes",120,120,0,0,2,1,0,3,138,190,191,NA,9,5,1,2
"5",6705,"Big Bash League 2014/15",2015-01-25 08:10:00,"Australia/Perth","W.A.C.A. Ground",115.879576,-31.959793,7,20,120,120,120,"Perth Scorchers","Melbourne Stars",0,"Perth Scorchers","Perth Scorchers","Bat",1.775,2.17,"Perth Scorchers",120,119,0,0,2,4,0,0,144,126,NA,145,7,10,3,4
"6",6709,"Big Bash League 2014/15",2014-12-31 08:10:00,"Australia/Adelaide","Adelaide Oval",138.596111,-34.915556,19,20,120,120,120,"Adelaide Strikers","Hobart Hurricanes",0,"Hobart Hurricanes","Hobart Hurricanes","Bat",2.22,1.741,"Adelaide Strikers",87,120,0,1,3,2,0,0,141,136,137,NA,2,8,1,2
"7",6712,"Big Bash League 2014/15",2014-12-30 08:10:00,"Australia/Melbourne","Docklands Stadium",144.947506,-37.816565,20,20,120,120,120,"Melbourne Renegades","Sydney Thunder",0,"Sydney Thunder","Melbourne Renegades","Bowl",1.69,2.31,"Melbourne Renegades",83,120,0,0,2,0,0,1,118,114,115,NA,2,6,2,4
"8",6714,"Big Bash League 2014/15",2014-12-29 08:10:00,"Australia/Sydney","Sydney Cricket Ground",151.224771,-33.891645,30,20,120,120,120,"Sydney Sixers","Perth Scorchers",0,"Perth Scorchers","Perth Scorchers","Bat",1.633,2.43,"Perth Scorchers",105,120,0,0,2,1,0,0,99,135,136,NA,10,7,4,1
"9",6717,"Big Bash League 2014/15",2014-12-28 08:10:00,"Australia/Brisbane","Brisbane Cricket Ground",153.038085,-27.485838,11,20,120,120,120,"Brisbane Heat","Melbourne Stars",0,"Brisbane Heat","Melbourne Stars","Bowl",2.86,1.481,"Brisbane Heat",120,120,2,0,0,5,1,0,164,163,NA,165,8,7,2,4
"10",6719,"Big Bash League 2014/15",2015-01-11 02:45:00,"Australia/Hobart","Bellerive Oval",147.373739,-42.877361,10,20,120,120,120,"Hobart Hurricanes","Perth Scorchers",0,"Perth Scorchers","Perth Scorchers","Bat",1.862,2.05,"Perth Scorchers",120,120,0,4,2,1,0,0,123,141,142,NA,7,8,1,1
"11",6721,"Big Bash League 2014/15",2015-01-01 08:10:00,"Australia/Perth","W.A.C.A. Ground",115.879576,-31.959793,7,20,120,120,120,"Perth Scorchers","Sydney Thunder",0,"Sydney Thunder","Sydney Thunder","Bat",1.752,2.2,"Sydney Thunder",120,120,0,0,2,1,2,1,159,179,180,NA,5,3,7,1
"12",6724,"Big Bash League 2014/15",2015-01-19 08:40:00,"Australia/Melbourne","Docklands Stadium",144.947506,-37.816565,20,20,120,120,120,"Melbourne Renegades","Adelaide Strikers",0,"Adelaide Strikers","Adelaide Strikers","Bat",1.752,2.2,"Adelaide Strikers",120,120,0,1,1,0,1,0,144,166,167,NA,7,5,3,0
"13",6728,"Big Bash League 2014/15",2015-01-17 08:10:00,"Australia/Sydney","Sydney Showground Stadium",151.067879,-33.843277,18,20,120,120,120,"Sydney Thunder","Melbourne Stars",0,"Sydney Thunder","Melbourne Stars","Bowl",2.45,1.621,"Melbourne Stars",120,87,2,0,2,0,0,0,106,107,NA,107,8,2,1,3
"14",6730,"Big Bash League 2014/15",2015-01-15 08:40:00,"Australia/Brisbane","Brisbane Cricket Ground",153.038085,-27.485838,11,20,120,120,120,"Brisbane Heat","Hobart Hurricanes",0,"Brisbane Heat","Hobart Hurricanes","Bowl",2.04,1.87,"Brisbane Heat",120,120,0,1,0,8,0,0,198,180,NA,199,6,8,3,7
"15",6732,"Big Bash League 2014/15",2015-01-21 08:40:00,"Australia/Melbourne","Melbourne Cricket Ground",144.983449,-37.819967,12,20,120,120,120,"Melbourne Stars","Perth Scorchers",0,"Perth Scorchers","Perth Scorchers","Bat",1.763,2.19,"Melbourne Stars",117,120,0,0,6,1,0,0,182,179,180,NA,7,2,4,1
